season,player_id,player_display_name,position,category,rank,points,finish_3,finish_6,finish_12,finish_24,finish_36,finish_48
2016,00-0023459,Aaron Rodgers,QB,fantasy_points,1,380.02000000000004,1,1,1,1,1,1
2016,00-0026143,Matt Ryan,QB,fantasy_points,2,347.46,1,1,1,1,1,1
2016,00-0020531,Drew Brees,QB,fantasy_points,3,332.32,1,1,1,1,1,1
2016,00-0032187,David Johnson,RB,fantasy_points,1,327.8,1,1,1,1,1,1
2016,00-0029668,Andrew Luck,QB,fantasy_points,4,307.7,0,1,1,1,1,1
2016,00-0029604,Kirk Cousins,QB,fantasy_points,5,300.28,0,1,1,1,1,1
2016,00-0033045,Ezekiel Elliott,RB,fantasy_points,2,293.40000000000003,1,1,1,1,1,1
2016,00-0033077,Dak Prescott,QB,fantasy_points,6,286.88,0,1,1,1,1,1
2016,00-0026498,Matthew Stafford,QB,fantasy_points,7,279.78000000000003,0,0,1,1,1,1
2016,00-0028118,Tyrod Taylor,QB,fantasy_points,8,270.92,0,0,1,1,1,1
2016,00-0031407,Blake Bortles,QB,fantasy_points,9,270.1,0,0,1,1,1,1
2016,00-0031280,Derek Carr,QB,fantasy_points,10,268.48,0,0,1,1,1,1
2016,00-0029263,Russell Wilson,QB,fantasy_points,11,268.06,0,0,1,1,1,1
2016,00-0027973,Andy Dalton,QB,fantasy_points,12,260.64,0,0,1,1,1,1
2016,00-0032268,Marcus Mariota,QB,fantasy_points,13,259.94,0,0,0,1,1,1
2016,00-0022942,Philip Rivers,QB,fantasy_points,14,258.94,0,0,0,1,1,1
2016,00-0019596,Tom Brady,QB,fantasy_points,15,258.56,0,0,0,1,1,1
2016,00-0031503,Jameis Winston,QB,fantasy_points,16,256.1,0,0,0,1,1,1
2016,00-0027939,Cam Newton,QB,fantasy_points,17,254.26000000000002,0,0,0,1,1,1
2016,00-0022924,Ben Roethlisberger,QB,fantasy_points,18,252.16,0,0,0,1,1,1
2016,00-0027029,LeSean McCoy,RB,fantasy_points,3,248.3,1,1,1,1,1,1
2016,00-0021429,Carson Palmer,QB,fantasy_points,19,243.12,0,0,0,1,1,1
2016,00-0026158,Joe Flacco,QB,fantasy_points,20,242.48000000000002,0,0,0,1,1,1
2016,00-0030496,Le'Veon Bell,RB,fantasy_points,4,242.4,0,1,1,1,1,1
2016,00-0028009,DeMarco Murray,RB,fantasy_points,5,240.8,0,1,1,1,1,1
2016,00-0031285,Devonta Freeman,RB,fantasy_points,6,230.1,0,1,1,1,1,1
2016,00-0027325,LeGarrette Blount,RB,fantasy_points,7,225.9,0,0,1,1,1,1
2016,00-0022803,Eli Manning,QB,fantasy_points,21,224.18,0,0,0,1,1,1
2016,00-0023436,Alex Smith,QB,fantasy_points,22,223.78,0,0,0,1,1,1
2016,00-0027854,Sam Bradford,QB,fantasy_points,23,220.88,0,0,0,1,1,1
2016,00-0032950,Carson Wentz,QB,fantasy_points,24,212.98000000000002,0,0,0,1,1,1
2016,00-0032144,Melvin Gordon,RB,fantasy_points,8,209.6,0,0,1,1,1,1
2016,00-0031408,Mike Evans,WR,fantasy_points,1,208.1,1,1,1,1,1,1
2016,00-0026176,Jordy Nelson,WR,fantasy_points,2,207.70000000000002,1,1,1,1,1,1
2016,00-0027793,Antonio Brown,WR,fantasy_points,3,201.3,1,1,1,1,1,1
2016,00-0032780,Jordan Howard,RB,fantasy_points,9,201.10000000000002,0,0,1,1,1,1
2016,00-0027974,Colin Kaepernick,QB,fantasy_points,25,200.44,0,0,0,0,1,1
2016,00-0027966,Mark Ingram,RB,fantasy_points,10,196.20000000000002,0,0,1,1,1,1
2016,00-0031235,Odell Beckham,WR,fantasy_points,4,195.60000000000002,0,1,1,1,1,1
2016,00-0032156,Trevor Siemian,QB,fantasy_points,26,191.74,0,0,0,0,1,1
2016,00-0029701,Ryan Tannehill,QB,fantasy_points,27,190.2,0,0,0,0,1,1
2016,00-0031590,Jay Ajayi,RB,fantasy_points,11,188.3,0,0,1,1,1,1
2016,00-0029608,T.Y. Hilton,WR,fantasy_points,5,182.8,0,1,1,1,1,1
2016,00-0027944,Julio Jones,WR,fantasy_points,6,176.9,0,1,1,1,1,1
2016,00-0023500,Frank Gore,RB,fantasy_points,12,176.20000000000002,0,0,1,1,1,1
2016,00-0030513,Latavius Murray,RB,fantasy_points,13,175.20000000000002,0,0,0,1,1,1
2016,00-0031381,Davante Adams,WR,fantasy_points,7,171.70000000000002,0,0,1,1,1,1
