season,player_id,player_display_name,position,category,rank,points,finish_3,finish_6,finish_12,finish_24,finish_36,finish_48
2013,00-0010346,Peyton Manning,QB,fantasy_points,1,409.98,1,1,1,1,1,1
2013,00-0020531,Drew Brees,QB,fantasy_points,2,357.68,1,1,1,1,1,1
2013,00-0026213,Jamaal Charles,RB,fantasy_points,1,308,1,1,1,1,1,1
2013,00-0027939,Cam Newton,QB,fantasy_points,3,297.66,1,1,1,1,1,1
2013,00-0029668,Andrew Luck,QB,fantasy_points,4,292.58,0,1,1,1,1,1
2013,00-0022942,Philip Rivers,QB,fantasy_points,5,288.32,0,1,1,1,1,1
2013,00-0027973,Andy Dalton,QB,fantasy_points,6,288.02000000000004,0,1,1,1,1,1
2013,00-0026498,Matthew Stafford,QB,fantasy_points,7,278.90000000000003,0,0,1,1,1,1
2013,00-0027029,LeSean McCoy,RB,fantasy_points,2,278.6,1,1,1,1,1,1
2013,00-0029263,Russell Wilson,QB,fantasy_points,8,270.18,0,0,1,1,1,1
2013,00-0027974,Colin Kaepernick,QB,fantasy_points,9,264.28,0,0,1,1,1,1
2013,00-0026184,Matt Forte,RB,fantasy_points,3,263.3,1,1,1,1,1,1
2013,00-0021678,Tony Romo,QB,fantasy_points,10,260.92,0,0,1,1,1,1
2013,00-0029567,Nick Foles,QB,fantasy_points,11,259.74,0,0,1,1,1,1
2013,00-0022924,Ben Roethlisberger,QB,fantasy_points,12,258.34000000000003,0,0,1,1,1,1
2013,00-0023436,Alex Smith,QB,fantasy_points,13,253.22,0,0,0,1,1,1
2013,00-0019596,Tom Brady,QB,fantasy_points,14,251.52,0,0,0,1,1,1
2013,00-0026143,Matt Ryan,QB,fantasy_points,15,248.1,0,0,0,1,1,1
2013,00-0025399,Marshawn Lynch,RB,fantasy_points,4,239.3,0,1,1,1,1,1
2013,00-0029701,Ryan Tannehill,QB,fantasy_points,16,238.32,0,0,0,1,1,1
2013,00-0026988,Knowshon Moreno,RB,fantasy_points,5,236.6,0,1,1,1,1,1
2013,00-0029664,Josh Gordon,WR,fantasy_points,1,227.4,1,1,1,1,1,1
2013,00-0027874,Demaryius Thomas,WR,fantasy_points,2,227,1,1,1,1,1,1
2013,00-0025389,Calvin Johnson,WR,fantasy_points,3,219.20000000000002,1,1,1,1,1,1
2013,00-0027696,Jimmy Graham,TE,fantasy_points,1,217.5,1,1,1,1,1,1
2013,00-0021429,Carson Palmer,QB,fantasy_points,17,217.26,0,0,0,1,1,1
2013,00-0029665,Robert Griffin,QB,fantasy_points,18,213.02,0,0,0,1,1,1
2013,00-0027942,A.J. Green,WR,fantasy_points,4,208.60000000000002,0,1,1,1,1,1
2013,00-0026158,Joe Flacco,QB,fantasy_points,19,207.58,0,0,0,1,1,1
2013,00-0030485,Eddie Lacy,RB,fantasy_points,6,207.5,0,1,1,1,1,1
2013,00-0024334,Brandon Marshall,WR,fantasy_points,5,205.5,0,1,1,1,1,1
2013,00-0028009,DeMarco Murray,RB,fantasy_points,7,205.10000000000002,0,0,1,1,1,1
2013,00-0027793,Antonio Brown,WR,fantasy_points,6,204.9,0,1,1,1,1,1
2013,00-0025394,Adrian Peterson,RB,fantasy_points,8,203.70000000000002,0,0,1,1,1,1
2013,00-0027902,Dez Bryant,WR,fantasy_points,7,199.4,0,0,1,1,1,1
2013,00-0026164,Chris Johnson,RB,fantasy_points,9,198.20000000000002,0,0,1,1,1,1
2013,00-0029137,Alshon Jeffery,WR,fantasy_points,8,194.60000000000002,0,0,1,1,1,1
2013,00-0030565,Geno Smith,QB,fantasy_points,20,193.74,0,0,0,1,1,1
2013,00-0027690,Eric Decker,WR,fantasy_points,9,192.8,0,0,1,1,1,1
2013,00-0024204,Fred Jackson,RB,fantasy_points,10,187.70000000000002,0,0,1,1,1,1
2013,00-0026189,DeSean Jackson,WR,fantasy_points,10,187.4,0,0,1,1,1,1
2013,00-0024217,Reggie Bush,RB,fantasy_points,11,185.20000000000002,0,0,1,1,1,1
2013,00-0027864,Ryan Mathews,RB,fantasy_points,12,184.4,0,0,1,1,1,1
